source,source_record_id,source_locator,analysis_include,analysis_year,analysis_year_basis,scheme,institution,award_value,status,title,summary,keywords,for_text,broad_area,supplementary_text,mls_status,molecular_life_science,mls_review_required,mls_for_hits,mls_explicit_hits,mls_review_hits,mls_clinical_context_hits,mls_false_context_hits,mls_reason,ai_status,ai,ai_candidate,ai_review_required,ai_for_hits,ai_explicit_hits,ai_review_hits,ai_reason,ai_mls,review_status,manual_ai_decision,manual_mls_decision,review_notes
ARC,DE220100003,DE220100003,True,2022,funding commencement year,Discovery Early Career Researcher Award,The University of Queensland,450675.0,Active,Understanding diversity: chemical and kinematic tracers of galaxy evolution,"Understanding diversity: chemical and kinematic tracers of galaxy evolution. Understanding how galaxies form and evolve throughout the Universe is one of the biggest outstanding challenges in astrophysics. The project aims to develop an innovative method for understanding the fundamental properties of angular momentum and chemical content of all kinds of galaxies. This project expects to generate new knowledge in the field of galaxy evolution, for the first time enabling astronomers to robustly compare distant, long-ago galaxies with those in the nearby, present-day Universe. Expected outcomes include a novel framework for determining galaxy morphology, based on fundamental physics. The framework will be highly beneficial to understanding the evolution of diverse types of galaxies, including our own Milky Way.",,0201 - Astronomical and Space Sciences,,"This project will enhance Australia’s outstanding reputation and world-leading influence at the cutting edge of astronomical research, revealing how galaxies like our Milky Way come to be out of the distant progenitor galaxies which we observe to be vastly different in shape, rotational properties, and chemical composition. Australia’s significant investment in optical astronomical facilities including the Anglo-Australian Telescope and the European Southern Observatory will be leveraged to lead strong international collaborations. The project will dramatically improve our understanding of fundamental physical properties, underpinning future developments in engineering, aviation and climate knowledge. New discoveries will provide the social benefit of a deeper understanding of the Universe and our place within it. The project will inspire young people to work in STEM fields, and train new workforce in quantitative problem solving and data analysis, skills which are transferable to a plethora of industries including engineering, finance, medicine, manufacturing, resource management and space science.",no,False,False,,,,,,,no,False,False,False,,,,,False,auto_classified,,,
ARC,DE220100006,DE220100006,True,2022,funding commencement year,Discovery Early Career Researcher Award,The University of Newcastle,383872.0,Active,Determining the regulation of ovary development with single cell sequencing,"Determining the regulation of ovary development with single cell sequencing. This project will greatly advance our understanding of ovary development and mammalian reproduction. I will investigate the process of ovarian primordial follicle activation including its genetic regulation, the importance of supportive granulosa cells and the biological significance of regulatory factors. This will be achieved through the comprehensive investigation of a single cell transcriptomic dataset of ovarian development (Aim 1) in conjunction with functional studies (Aim 2). The outcomes of which will hold significant benefit to animal reproduction through new strategies to improve livestock productivity and control invasive pest species. These outcomes are of economic and environmental and benefit nationally.",,0608 - Zoology,,"Regulation of fertility of agricultural, feral, and domesticated species remains a crucial component of the economic success of Australia’s agribusiness, conservation, and environmental sustainability. Australia’s agricultural industry is currently worth $61 billion per year with targets to grow this to $100 billion by 2030, with farmed livestock generating more than $30 billion annually. Pest animals cause over $600 million a year in lost agricultural productivity and represent a major pressure on Australia’s threatened species. Optimal animal production drives the financial benefit of agricultural animals and the pervasiveness of pest species. Both of which are ultimately dictated by the reproductive fitness of the species. This project will investigate the regulation of mammalian oocyte (egg) production using novel single cell and transcriptomic technologies to understand and reversibly target the process of ovarian development and ultimately harness our control of animal reproduction.",yes,True,False,zoology,genetics; transcriptomics; single-cell; sequencing,cells; animal biology,,,FoR:zoology; explicit:genetics; explicit:transcriptomics; explicit:single-cell; explicit:sequencing; review:cells; review:animal biology,no,False,False,False,,,,,False,auto_classified,,,
ARC,DE220100025,DE220100025,True,2022,funding commencement year,Discovery Early Career Researcher Award,The University of Sydney,436250.0,Active,"Human-kangaroo relations: Reconciling perceptions, knowledges and practices","Human-kangaroo relations: Reconciling perceptions, knowledges and practices. This research aims to reveal the diverse perceptions, knowledges and practices shaping human-kangaroo relations in Australia. Using inter-disciplinary and multi-sited methods, the project expects to generate innovative empirical and conceptual insights into the contested status of the kangaroo as native species and pest, food resource and political symbol. Planned outcomes of the project include the development of participatory and applied approaches to reconciling environmental conservation with ethical food production and multispecies justice. Anticipated benefits include fast-tracking a multi-stakeholder dialogue to ensure an ecologically viable, ethically just and economically sustainable future for Australian wildlife. ",,2002 - Cultural Studies,,"This research investigates the various perceptions, knowledges and practices surrounding human-kangaroo relations among multiple Australian actors and institutions. These include government agencies, conservation scientists, animal welfare organisations and commercial and non-commercial kangaroo harvesters. The project will offer a comprehensive social analysis of the opportunities and challenges in reconciling the ecological and ethical dimensions of kangaroo management with its economic importance for agriculturalists and the kangaroo meat industry. Importantly, this research will bridge the existing gap between scientific knowledge, legal frameworks and public perceptions surrounding kangaroo conservation, culling and consumption. It will lay the groundwork for critically needed inter-disciplinary and multi-stakeholder dialogue towards the creation of sustainable and just human-kangaroo futures. The knowledge generated by this research will enable the development of innovative and inclusive processes for harmonising the economic, environmental and ethical facets of human-wildlife relations in Australia.  ",no,False,False,,,,,,,no,False,False,False,,,,,False,auto_classified,,,
ARC,DE220100027,DE220100027,True,2022,funding commencement year,Discovery Early Career Researcher Award,The University of Melbourne,467754.0,Active,Making a life with less: youth underemployment over the life course,"Making a life with less: youth underemployment over the life course. This project aims to investigate the experiences and impacts of underemployment on young people. Using high-quality longitudinal data and qualitative interviews, this project expects to generate new, foundational knowledge about the employment pathways young people take following underemployment and the strategies they use to mitigate its effects. In doing so, this project aims to reveal the impacts underemployment has on young people’s lives within and outside work, including their relationships, family formation and well-being. This much-needed research aims to provide significant benefits for policymakers and service providers that improve the lives of young people.",,1608 - Sociology,,"This project contributes to new knowledge that can help better understand the impact of underemployment on young people and their futures. In taking a multi-dimensional view of youth underemployment that views it beyond just working less but also earning less and using less one own skills, education and experience in their currently employment, this project addresses issues that are critical to employment and economic policies. Mapping young people’s pathways in the labour market following underemployment will provide better insights into how best policymakers and service providers can ensure that young people prosper. Further, identifying the strategies young people themselves take following underemployment will shed further light on creating targeted policy interventions that can succeed. This project will also examine the impact of underemployment beyond work and its effects on relationships, family formation and well-being will also tell us critical parts of the story that are often left out, but give greater insights into the experiences of underemployment and how best to address it. ",no,False,False,,,,,,,no,False,False,False,,,,,False,auto_classified,,,
ARC,DE220100028,DE220100028,True,2022,funding commencement year,Discovery Early Career Researcher Award,La Trobe University,432029.0,Closed,Addressing gender and sexuality in drug education,"Addressing gender and sexuality in drug education. This project aims to generate new knowledge on the relationship between young people’s concerns about drugs and the priorities informing drug education. Alcohol and illicit drug use costs Australia almost $40 billion per year and is a leading contributor to total burden of disease for young Australians. Drug education is a key strategy used to reduce youth alcohol and illicit drug-related harm, yet it has been the subject of sustained criticism for its inability to address youth effectively, including the gendered and sexual dimensions of harm. Outcomes expected from this project include more effective and equitable drug education materials. Overall, the project seeks to reduce alcohol and illicit drug-related harm among young Australians.",,1608 - Sociology,,"Alcohol and illicit drug-related issues constitute an estimated 16.5% of Australia’s national disease burden and cost the nation almost $40 billion annually. In 2019, 22% of Australians aged 14–19 reported lifetime use of illicit drugs. In response, Australia’s National Drug Strategy identifies school drug education as a central means of addressing youth alcohol and illicit drug-related harm. While alcohol and illicit drug use is known to be shaped by gender and sexuality, drug education is ill-equipped to address these aspects. Consequently, many drug education initiatives are not only ineffective but can be counterproductive. This project will explore how gender and sexuality shape young people’s experiences of, and responses to, drug education. This project will also analyse how drug education stakeholders perceive young people’s needs and how these understandings relate to their priorities. The findings will be used to develop new, practice-ready drug education resources that respond to young people’s needs and reduce alcohol and illicit drug-related harm among young Australians.",no,False,False,,,,,,,no,False,False,False,,,,,False,auto_classified,,,
ARC,DE220100032,DE220100032,True,2022,funding commencement year,Discovery Early Career Researcher Award,The University of Newcastle,379264.0,Closed,Banking on spermatogonial stem cells to safeguard Australian native fauna,"Banking on spermatogonial stem cells to safeguard Australian native fauna. Spermatogonial stem cells in the testis are an untapped resource for species conservation. This project aims to characterise metabolic pathways that control spermatogonial stem cell function, and define the conserved nature of these pathways between model species (mouse) and vulnerable Australian native fauna. Expected outcomes of this project include an enhanced capacity to culture koala spermatogonia in vitro, which will be a first step towards using spermatogonial biobanking as a tool to maintain genetic diversity in this species. Outcomes from this study should provide significant benefits in safeguarding our unique Australian native species, which is of particular importance following the catastrophic 2019/20 bushfire season.",,0608 - Zoology,,"This project directly contributes to Australia's national interest through the fortification of conservation strategies that can be applied to our vulnerable Australian native faunae.  This research will uncover novel molecular mechanisms that control spermatogonial stem cell function in the testis, in both the mouse (model species) and the koala. Knowledge produced in this proposal will inform pioneering attempts to culture koala spermatogonia in vitro: a first step towards developing spermatogonial stem cell biobanking as a conservation technique. Beyond this, the ability to maintain primary cultures of undifferentiated spermatogonia would provide a seminal experimental resource for future studies into potential threats to koala reproduction, such as chlamydia infection and heat stress (i.e. climate change). Moreover, this project will consolidate the standing of Australian researchers in the field of Reproductive Biology, and will provide outstanding training opportunities for PhD candidates. ",yes,True,False,zoology,genetics; stem cell,cells,,,FoR:zoology; explicit:genetics; explicit:stem cell; review:cells,no,False,False,False,,,,,False,auto_classified,,,
ARC,DE220100042,DE220100042,True,2022,funding commencement year,Discovery Early Career Researcher Award,The Australian National University,435991.0,Active,"Self-determination for Indigenous Australia: histories, visions and voice","Self-determination for Indigenous Australia: histories, visions and voice. This project aims to provide a historical exploration of the experiences of self-determination in Aboriginal communities in the Northern Territory. Working in partnership with Indigenous collaborators, it expects to generate new knowledge of the challenges and opportunities which arose from the process of self-determination. Expected outcomes include a new history of the Northern Territory as shaped by self-determination, together with innovative methods for community-based collaborative research which give voice to historical Indigenous experiences. This should provide significant benefits for policymakers engaging with Indigenous communities and generate deeper cultural understanding of an important era in Australia’s Indigenous history.",,2103 - Historical Studies,,"Remote Aboriginal communities continue to endure inequities in health, education and economic outcomes. The Commonwealth Government introduced a policy of self-determination in 1973, which included the transformation of remote missions in the Northern Territory into these communities. Yet the Uluru Statement shows that many Indigenous leaders do not consider self-determination to have been realised. Truth-telling about this period is therefore vital. This collaborative project will investigate what self-determination meant for communities and what Indigenous people, governments and churches attempted in its name. The research will generate opportunities and outputs for Indigenous communities to promote and revitalise their stories for the benefit of the rising generation and broader Australian public. The benefit this project will contribute to Australian culture includes increased awareness of past policy successes and failures (as a precursor to improved policy delivery) and an historically-informed evidence-base for national debate about Indigenous sovereignties.",no,False,False,,,,,,,no,False,False,False,,,,,False,auto_classified,,,
ARC,DE220100044,DE220100044,True,2022,funding commencement year,Discovery Early Career Researcher Award,Queensland University of Technology,412944.0,Active,Data-driven Wide-area System Strength Monitoring under Weak Grid Conditions,"Data-driven Wide-area System Strength Monitoring under Weak Grid Conditions. This project aims to investigate and evolve the system strength assessment framework to suit weak electricity grids with substantial renewable sources. It expects to develop a digitalized approach where comprehensive metric indices are estimated by an innovative data-driven system to realize real-time wide-area system strength assessment under weak grid conditions. Advanced methods will also be developed to bridge the gap between data science and energy system applications. The new suite of next-gen metrics and data-driven techniques will offer the world’s most innovative renewable energy products with desired grid support capability and low system strength operability, that would smooth the transition towards low-carbon electricity future.",,0906 - Electrical and Electronic Engineering,,"As a strategic plan to mitigate climate threat, the Australian electricity grid undergoes a tremendous transition towards a system dominated by renewable energy. In this transition, weak system strength has been identified as a significant and urgent issue that could cause catastrophic cascading failure or rolling blackout in the Australian grid. Addressing the weak grid issue requires the evolvement of system strength assessment framework. The development of data-driven techniques in this project serves as an immediate solution committing to elevate the low system strength operability of the Australian grid in the short run. The outcome of the applied research will help appeal secure renewable energy integration, improve the reliability of electricity supply, provide low-cost energy to the public, and create more environmental values in the path towards low-carbon future.",no,False,False,,,,,,,no,False,False,False,,,,,False,auto_classified,,,
ARC,DE220100052,DE220100052,True,2022,funding commencement year,Discovery Early Career Researcher Award,RMIT University,437020.0,Active,Impacts of the apartment boom on public transport in Australian cities,"Impacts of the apartment boom on public transport in Australian cities. This project aims to investigate the impacts of high density housing on public transport use and service provision to directly inform policy and practice. Recent growth in high density housing along public transport corridors is associated with overcrowded public transport services in Australian cities, yet this complex and interconnected relationship is not well understood. This project expects to generate new knowledge in the field of transport and land use integration and produce much needed cross-sectional and longitudinal evidence of the impacts of the apartment boom on public transport. Anticipated benefits include reduced overcrowding on public transport, improved travel choices and enhanced liveability in Australian cities.",,1205 - Urban and Regional Planning,,"This project will significantly increase our understanding of the effect that high density housing has on the use and provision of public transport. This research is critical given the rapid growth in high density housing in Australia coupled with overcrowded and unreliable public transport services. The project will help to improve policy and practice for better integrating transport and land use planning. Public transport operators will also benefit as the research findings will help to facilitate improved management and efficiency of public transport services, through reduced passenger overcrowding. Greater alignment between high density housing and public transport will contribute to enhanced liveability in our cities through reduced traffic congestion and overcrowding on public transport, greater travel choices and improved accessibility.",no,False,False,,,,,,,no,False,False,False,,,,,False,auto_classified,,,
ARC,DE220100055,DE220100055,True,2022,funding commencement year,Discovery Early Career Researcher Award,The University of Melbourne,451415.0,Active,Impact of seaweed polyphenols on gut health: Gut microbiome modulation,"Impact of seaweed polyphenols on gut health: Gut microbiome modulation. This project aims to understand the true impact of seaweed polyphenols on the gut microbiome and develop methods to improve their bioavailability, bioaccessibility and bioactivities in the gut. The project's use of cutting-edge analytical tools helps to investigate the movement and absorption of phenolic compounds across the gut. This project expects to explore new knowledge in the area of marine-based functional foods and their health benefits using an innovative interdisciplinary approach. The success of this project will ultimately provide a new pathway for the development of functional foods that will help to improve the health status of Australians by consuming healthy food ingredients.",,0908 - Food Sciences,,"The proposed research will provide very comprehensive information about the impact of seaweed polyphenols on the gut microbiome and promote the importance of Australian functional or healthy foods. Australia is well-placed to be the key global marine-derived functional foods and nutraceutical hub over the coming decades. Australian ‘health and wellness’ products including functional foods and supplements, along with more sustainable products such as seaweed-derived bioactive compounds and alternative plant-based proteins etc. will become an AU$25 billion market by 2030. The new knowledge generated in this proposal will undoubtedly contribute to the ""Australian Functional Food and Nutraceutical Market"" and assist in the development and commercialisation of marine-based functional foods. My proposed project will also increase the success rate of clinical trials, which costs Australia more than $1.1 billion annually. The outcome of the project will provide opportunities for further research avenues and contribute to the international competitiveness of Australia’s research standing.",yes,True,False,,microbiome,,,,explicit:microbiome,no,False,False,False,,,,,False,auto_classified,,,
