source,year,total_grant_count,total_funding,ai_grant_count,ai_funding,mls_grant_count,mls_funding,ai_mls_grant_count,ai_mls_funding,ai_mls_share_all_grants,ai_mls_share_ai_grants,ai_mls_share_mls_grants,ai_mls_share_all_funding,ai_mls_share_ai_funding,ai_mls_share_mls_funding,ai_share_all_funding,mls_share_all_funding,headline_funding_proportion,headline_denominator,review_required_count
ARC,2022,1095,634362524.0,76,34374615.0,252,150959470.0,5,2162023.0,0.0045662100456621,0.06578947368421052,0.01984126984126984,0.003408182101249096,0.06289591897974711,0.014321877256193334,0.05418765090858362,0.2379703470629359,0.06289591897974711,AI funding,110
ARC,2023,1091,1096077729.0,76,50915033.0,252,222345610.0,5,3157263.0,0.00458295142071494,0.06578947368421052,0.01984126984126984,0.0028805101284929036,0.0620104282363914,0.014199799132530657,0.04645202767366875,0.20285569546500656,0.0620104282363914,AI funding,101
ARC,2024,997,715930929.0,90,50293519.0,221,153265312.0,7,4890960.0,0.007021063189568706,0.07777777777777778,0.03167420814479638,0.006831608751463788,0.0972483154340423,0.03191172181217365,0.0702491217557106,0.21407835000797962,0.0972483154340423,AI funding,118
ARC,2025,1122,883566939.0,130,101499058.0,248,195135313.0,13,12228209.0,0.011586452762923352,0.1,0.05241935483870968,0.013839595462727018,0.12047608363025399,0.06266527986146721,0.11487421441421769,0.22084949581844868,0.12047608363025399,AI funding,131
ARC,2022-2025,4305,3329938121.0,372,237082225.0,973,721705705.0,30,22438455.0,0.006968641114982578,0.08064516129032258,0.030832476875642344,0.0067383999896255126,0.09464418937353908,0.031090865493435444,0.07119718636957818,0.21673246732382748,0.09464418937353908,AI funding,460
NHMRC,2022,725,900071183.5899999,21,25566052.669999998,381,477208693.32000005,11,15449869.89,0.015172413793103448,0.5238095238095238,0.028871391076115485,0.017165164457745512,0.6043119009971124,0.032375499663498036,0.02840447859693488,0.5301899472179724,0.017165164457745512,all funding,21
NHMRC,2023,686,908263818.35,20,30311151.470000003,398,535172152.37,12,21710689.2,0.01749271137026239,0.6,0.03015075376884422,0.023903505524904407,0.7162607867763724,0.04056767360531487,0.03337262902871639,0.5892254448076794,0.023903505524904407,all funding,19
NHMRC,2024,740,1005205527.9300001,28,33753024.35,360,504566490.1,17,23292562.3,0.022972972972972974,0.6071428571428571,0.04722222222222222,0.02317194011852075,0.6900881550189146,0.046163514139402416,0.03357823192586987,0.501953556840305,0.02317194011852075,all funding,39
NHMRC,2025,715,1078625881.6200001,36,62011539.92,376,600262665.1800001,17,21366604.560000002,0.023776223776223775,0.4722222222222222,0.04521276595744681,0.019809096855630114,0.3445585222938292,0.035595424802228576,0.05749124045388582,0.5565068254049856,0.019809096855630114,all funding,17
NHMRC,2022-2025,2866,3892166411.49,105,151641768.41000003,1515,2117210000.9700003,57,81819725.95,0.01988834612700628,0.5428571428571428,0.03762376237623762,0.021021641240328612,0.53955929693975,0.03864506870481165,0.03896076179125869,0.5439669780613233,0.021021641240328612,all funding,96
MRFF,2022,237,534485030.22,9,12608735.600000001,89,199452270.39000002,2,1404055.7,0.008438818565400843,0.2222222222222222,0.02247191011235955,0.0026269317578867923,0.11135578891827978,0.007039557370064389,0.02359043731273466,0.37316717796175364,0.0026269317578867923,all funding,6
MRFF,2023,302,697791254.42,15,38296762.75,105,233686419.0,5,11531602.959999999,0.016556291390728478,0.3333333333333333,0.047619047619047616,0.016525863411092762,0.3011116901780425,0.04934648324599471,0.05488283567244196,0.3348944509117398,0.016525863411092762,all funding,5
MRFF,2024,311,734613711.1299999,18,45170751.43,71,173675695.06,3,11999010.36,0.00964630225080386,0.16666666666666666,0.04225352112676056,0.0163337685891308,0.2656367224396205,0.06908859847000862,0.06148912107904616,0.23641771509117085,0.0163337685891308,all funding,13
MRFF,2025,271,688565196.33,15,34194337.36,98,219593396.48000002,7,17583889.419999998,0.025830258302583026,0.4666666666666667,0.07142857142857142,0.02553700000191817,0.5142339573618805,0.08007476409520126,0.04966027551530808,0.3189144581376115,0.02553700000191817,all funding,4
MRFF,2022-2025,1121,2655455192.1000004,57,130270587.14000002,363,826407780.9300001,17,42518558.44,0.015165031222123104,0.2982456140350877,0.046831955922865015,0.01601177777975431,0.3263864804286626,0.051449852507622365,0.04905772371063011,0.31121134462692857,0.01601177777975431,all funding,28
COMBINED,2022,2057,2068918737.81,106,72549403.27000001,722,827620433.7099999,18,19015948.59,0.008750607681088965,0.16981132075471697,0.024930747922437674,0.009191249633191895,0.26211033768575887,0.022976654291577376,0.03506633776578161,0.4000255875617696,,not defined for combined,137
COMBINED,2023,2079,2702132801.77,111,119522947.22,755,991204181.37,22,36399555.16,0.010582010582010581,0.1981981981981982,0.02913907284768212,0.01347067588097702,0.3045403080046305,0.036722560138608466,0.044232817551272056,0.36682289660993844,,not defined for combined,125
COMBINED,2024,2048,2455750168.06,136,129217294.78,652,831507497.1600001,27,40182532.66,0.01318359375,0.19852941176470587,0.04141104294478527,0.01636263052431897,0.3109686882736023,0.04832491925477853,0.0526182575331266,0.33859612756002644,,not defined for combined,170
COMBINED,2025,2108,2650758016.95,181,197704935.28,722,1014991374.6600001,37,51178702.980000004,0.017552182163187855,0.20441988950276244,0.05124653739612189,0.019307195395710602,0.25886406380052207,0.050422795954442226,0.07458430155291283,0.3829060850404835,,not defined for combined,152
COMBINED,2022-2025,8292,9877559724.59,534,518994580.54999995,2851,3665323486.8999996,104,146776739.39,0.012542209358417752,0.1947565543071161,0.0364784286215363,0.014859615480188092,0.282809772761894,0.04004468907439832,0.052542793465269834,0.37107581114141436,,not defined for combined,584
